"category","file","short_plot_file","peak_index","peak_nm","nearest_sample_nm","signal_V","baseline_V","height_over_baseline_V","matched_candidate","matched_species","candidate_nm","delta_nm","confidence","note"
"Hydrogen_only_control","08_Hydrogen_only_control_656.695nm_HD_data_wavelength_is_1313.15_3_to_2__this_is_in_second_REAL_FOR_CURVEFIT.dat","identity_001_Hydrogen_only_control.pdf",1,655.6939366857579,655.6963944712012,10.305699,0.024739,10.28096,"D alpha","D",656.1002747821351,-0.40633809637722607,"unmatched","Approx deuterium Balmer"
"Hydrogen_only_control","09_Hydrogen_only_control_656.525nm_HD_data_wavelength_is_656.279_3_to_2_REAL_FOR_CURVEFIT.dat","identity_002_Hydrogen_only_control.pdf",1,656.1158690992671,656.1136919974302,2.587246,0.025631,2.5616149999999998,"D alpha","D",656.1002747821351,0.015594317132013202,"strong","Approx deuterium Balmer"
"Hydrogen_only_control","10_Hydrogen_only_control_389.035nm_HD_data_wavelength_is_777.637_7_to_2__this_is_in_second_REAL_FOR_CURVEFIT.dat","identity_003_Hydrogen_only_control.pdf",1,388.567907672799,388.5710516472771,2.64133,0.008876,2.632454,"O I 777.539 first order alias","O I",388.52190362025243,0.046004052546550156,"possible","First order oxygen line after second order conversion"
"Hydrogen_only_control","10_Hydrogen_only_control_389.035nm_HD_data_wavelength_is_777.637_7_to_2__this_is_in_second_REAL_FOR_CURVEFIT.dat","identity_003_Hydrogen_only_control.pdf",2,388.6803196267569,388.6910451881216,2.054224,0.008876,2.045348,"D zeta","D",388.8000887799564,-0.11976915319951331,"unmatched","Approx deuterium Balmer"
"Hydrogen_only_control","11_Hydrogen_only_control_397.765nm_HD_data_wavelength_is_794.566_6_to_2__this_is_in_second_REAL_FOR_CURVEFIT.dat","identity_004_Hydrogen_only_control.pdf",1,397.0206050508358,397.0206050508358,6.740861,3.078699,3.662162,"H epsilon","H",397.007,0.013605050835792554,"strong","Balmer hydrogen"
"Hydrogen_only_control","11_Hydrogen_only_control_397.765nm_HD_data_wavelength_is_794.566_6_to_2__this_is_in_second_REAL_FOR_CURVEFIT.dat","identity_004_Hydrogen_only_control.pdf",2,397.393488400639,397.4009534591102,5.996874,3.078699,2.918175,"H epsilon","H",397.007,0.3864884006389957,"unmatched","Balmer hydrogen"
"Hydrogen_only_control","11_Hydrogen_only_control_397.765nm_HD_data_wavelength_is_794.566_6_to_2__this_is_in_second_REAL_FOR_CURVEFIT.dat","identity_004_Hydrogen_only_control.pdf",3,397.5672711387307,397.5673338009166,4.76894,3.078699,1.6902409999999999,"H epsilon","H",397.007,0.560271138730684,"unmatched","Balmer hydrogen"
"Hydrogen_only_control","12_Hydrogen_only_control_410.470nm_HD_data_wavelength_is_820.752_5_to_2__this_is_in_second_REAL_FOR_CURVEFIT.dat","identity_005_Hydrogen_only_control.pdf",1,410.09541204448595,410.09086961741957,7.174006,1.441982,5.732024,"D delta","D",410.0622968409586,0.03311520352735897,"strong","Approx deuterium Balmer"
"Hydrogen_only_control","13_Hydrogen_only_control_434.608nm_HD_data_wavelength_is_868.34_5_to_2__this_is_in_second__REAL_FOR_CURVEFIT.dat","identity_006_Hydrogen_only_control.pdf",1,433.9236897594502,433.9241183523306,0.057836,0.00568,0.052156,"D gamma","D",433.92879547930283,-0.005105719852622315,"strong","Approx deuterium Balmer"
"Hydrogen_only_control","14_Hydrogen_only_control_486.418nm_HD_data_wavelength_is_972.59_4_to_2__this_is_in_second__REAL_FOR_CURVEFIT.dat","identity_007_Hydrogen_only_control.pdf",1,485.89015765642534,485.8918353604324,5.52057,0.246687,5.2738830000000005,"D beta","D",486.00061083877995,-0.110453182354604,"unmatched","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","01_Actual_HD_mixed_lamp_388.945nm_100_slit_width_THIS_IS_6th_line_THIS_ONE_IS_ACTUALLY_JU_REAL_FOR_CURVEFIT.dat","identity_008_Actual_HD_mixed_lamp.pdf",1,388.5846790344845,388.58920176718345,4.627105,0.053351,4.573754,"O I 777.539 first order alias","O I",388.52190362025243,0.06277541423207822,"possible","First order oxygen line after second order conversion"
"Actual_HD_mixed_lamp","01_Actual_HD_mixed_lamp_388.945nm_100_slit_width_THIS_IS_6th_line_THIS_ONE_IS_ACTUALLY_JU_REAL_FOR_CURVEFIT.dat","identity_008_Actual_HD_mixed_lamp.pdf",2,388.7081974914958,388.70918931838355,4.281685,0.053351,4.228334,"D zeta","D",388.8000887799564,-0.09189128846060157,"unmatched","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","02_Actual_HD_mixed_lamp_410.500nm_100_sliut_width_and_4th_line_THIS_ONE_IS_ACTUALLY_JUST__REAL_FOR_CURVEFIT.dat","identity_009_Actual_HD_mixed_lamp.pdf",1,410.0191369745201,410.02663417531886,5.000508,2.122111,2.878397,"D delta","D",410.0622968409586,-0.04315986643848646,"possible","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","16_Actual_HD_mixed_lamp_656.495nm_THIS_IS_1th_line_THIS_ONE_IS_ACTUALLY_JUST_HD_data_wave_REAL_FOR_CURVEFIT.dat","identity_010_Actual_HD_mixed_lamp.pdf",1,655.5136876316365,655.5150355261917,6.909435,0.044153,6.8652820000000006,"D alpha","D",656.1002747821351,-0.5865871504986444,"unmatched","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","16_Actual_HD_mixed_lamp_656.495nm_THIS_IS_1th_line_THIS_ONE_IS_ACTUALLY_JUST_HD_data_wave_REAL_FOR_CURVEFIT.dat","identity_010_Actual_HD_mixed_lamp.pdf",2,655.6916658866409,655.6917739596928,2.855159,0.044153,2.811006,"D alpha","D",656.1002747821351,-0.40860889549423973,"unmatched","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","17_Actual_HD_mixed_lamp_486.320nm_THIS_IS_2th_line_THIS_ONE_IS_ACTUALLY_JUST_HD_data_wave_REAL_FOR_CURVEFIT.dat","identity_011_Actual_HD_mixed_lamp.pdf",1,485.77966857279836,485.7837622101939,0.28172,0.04327,0.23845000000000002,"D beta","D",486.00061083877995,-0.2209422659815914,"unmatched","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","17_Actual_HD_mixed_lamp_486.320nm_THIS_IS_2th_line_THIS_ONE_IS_ACTUALLY_JUST_HD_data_wave_REAL_FOR_CURVEFIT.dat","identity_011_Actual_HD_mixed_lamp.pdf",2,485.90913705928085,485.90417302959736,0.143672,0.04327,0.10040199999999999,"D beta","D",486.00061083877995,-0.09147377949909696,"unmatched","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","18_Actual_HD_mixed_lamp_388.945nm_THIS_IS_6th_line_THIS_ONE_IS_ACTUALLY_JUST_HD_data_wave_REAL_FOR_CURVEFIT.dat","identity_012_Actual_HD_mixed_lamp.pdf",1,388.5846790344845,388.58920176718345,4.627105,0.053351,4.573754,"O I 777.539 first order alias","O I",388.52190362025243,0.06277541423207822,"possible","First order oxygen line after second order conversion"
"Actual_HD_mixed_lamp","18_Actual_HD_mixed_lamp_388.945nm_THIS_IS_6th_line_THIS_ONE_IS_ACTUALLY_JUST_HD_data_wave_REAL_FOR_CURVEFIT.dat","identity_012_Actual_HD_mixed_lamp.pdf",2,388.7081974914958,388.70918931838355,4.281685,0.053351,4.228334,"D zeta","D",388.8000887799564,-0.09189128846060157,"unmatched","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","19_Actual_HD_mixed_lamp_397.413nm_THIS_ONE_IS_ACTUALLY_JUST_HD_5th_layer_100_nm_width_of__REAL_FOR_CURVEFIT.dat","identity_013_Actual_HD_mixed_lamp.pdf",1,396.67872263795743,396.67872263795743,2.374199,2.31664,0.057558999999999916,"D epsilon","D",396.89888262527234,-0.22015998731490072,"unmatched","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","19_Actual_HD_mixed_lamp_397.413nm_THIS_ONE_IS_ACTUALLY_JUST_HD_5th_layer_100_nm_width_of__REAL_FOR_CURVEFIT.dat","identity_013_Actual_HD_mixed_lamp.pdf",2,396.9261394287779,396.92933085655716,3.328351,2.31664,1.011711,"D epsilon","D",396.89888262527234,0.027256803505565586,"strong","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","19_Actual_HD_mixed_lamp_397.413nm_THIS_ONE_IS_ACTUALLY_JUST_HD_5th_layer_100_nm_width_of__REAL_FOR_CURVEFIT.dat","identity_013_Actual_HD_mixed_lamp.pdf",3,397.16797775531427,397.16797775531427,2.451937,2.31664,0.135297,"H epsilon","H",397.007,0.1609777553142635,"unmatched","Balmer hydrogen"
"Actual_HD_mixed_lamp","19_Actual_HD_mixed_lamp_397.413nm_THIS_ONE_IS_ACTUALLY_JUST_HD_5th_layer_100_nm_width_of__REAL_FOR_CURVEFIT.dat","identity_013_Actual_HD_mixed_lamp.pdf",4,397.2157037409339,397.2157037409339,2.452985,2.31664,0.13634499999999994,"H epsilon","H",397.007,0.2087037409339132,"unmatched","Balmer hydrogen"
"Actual_HD_mixed_lamp","19_Actual_HD_mixed_lamp_397.413nm_THIS_ONE_IS_ACTUALLY_JUST_HD_5th_layer_100_nm_width_of__REAL_FOR_CURVEFIT.dat","identity_013_Actual_HD_mixed_lamp.pdf",5,397.41181325910867,397.4065972015347,2.858397,2.31664,0.541757,"H epsilon","H",397.007,0.40481325910866417,"unmatched","Balmer hydrogen"
"Actual_HD_mixed_lamp","19_Actual_HD_mixed_lamp_397.413nm_THIS_ONE_IS_ACTUALLY_JUST_HD_5th_layer_100_nm_width_of__REAL_FOR_CURVEFIT.dat","identity_013_Actual_HD_mixed_lamp.pdf",6,397.5884122368887,397.5855438172668,2.699975,2.31664,0.38333499999999976,"H epsilon","H",397.007,0.5814122368886956,"unmatched","Balmer hydrogen"
"Actual_HD_mixed_lamp","20_Actual_HD_mixed_lamp_434.373nm_THIS_ONE_IS_ACTUALLY_JUST_HD_data_wavelength_is_868.34__REAL_FOR_CURVEFIT.dat","identity_014_Actual_HD_mixed_lamp.pdf",1,433.8445302969057,433.8391502553183,0.630456,0.231709,0.398747,"D gamma","D",433.92879547930283,-0.08426518239713232,"unmatched","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","20_Actual_HD_mixed_lamp_434.373nm_THIS_ONE_IS_ACTUALLY_JUST_HD_data_wavelength_is_868.34__REAL_FOR_CURVEFIT.dat","identity_014_Actual_HD_mixed_lamp.pdf",2,433.9551025439943,433.95423877654616,0.42933,0.231709,0.197621,"D gamma","D",433.92879547930283,0.02630706469147981,"strong","Approx deuterium Balmer"
